"","country","scenario","value2100_PropCurrent","ReefAdjacent","OnReef","Total","inCoralValues","Tourismvalue2100"
"103","Guam",6,0.0199346256784997,115444,207800,323244,TRUE,6443.74814282096
"104","Guam",8.5,2.00880694903682e-08,115444,207800,323244,TRUE,0.00649334793434458
"105","Haiti",2.6,1.87127844252812,10487,4719,15206,TRUE,28454.6599970826
"106","Haiti",4.5,0.326897476277543,10487,4719,15206,TRUE,4970.80302427632
"107","Haiti",6,0.0485265870962688,10487,4719,15206,TRUE,737.895283385863
"108","Haiti",8.5,-6.42572871560895e-08,10487,4719,15206,TRUE,-0.000977096308495497
"109","Honduras",2.6,0.99026224028685,63532,383096,446628,TRUE,442278.843854835
"110","Honduras",4.5,0.468861556119811,63532,383096,446628,TRUE,209406.699086679
"111","Honduras",6,0.153996372012099,63532,383096,446628,TRUE,68779.0916390198
"112","Honduras",8.5,5.12579982336703e-06,63532,383096,446628,TRUE,2.28932572351077
"113","India",2.6,0.152084039299728,393290,70792,464082,TRUE,70579.4651262963
"114","India",4.5,0.0151612786774277,393290,70792,464082,TRUE,7036.07653117801
"115","India",6,0.00464222111801876,393290,70792,464082,TRUE,2154.37126089238
"116","India",8.5,7.05127708575192e-08,393290,70792,464082,TRUE,0.0327237077250992
"117","Indonesia",2.6,1.03955155335288,1106233,1991220,3097453,TRUE,3219962.07758754
"118","Indonesia",4.5,0.244966552336724,1106233,1991220,3097453,TRUE,758772.382435043
"119","Indonesia",6,0.0894664671120849,1106233,1991220,3097453,TRUE,277118.176955729
"120","Indonesia",8.5,2.30419007756127e-07,1106233,1991220,3097453,TRUE,0.71371204683124
"121","Iran",2.6,0.731612669706321,13345,0,13345,TRUE,9763.37107723086
"122","Iran",4.5,0.112932194623808,13345,0,13345,TRUE,1507.08013725471
"123","Iran",6,0.0321319657190522,13345,0,13345,TRUE,428.801082520752
"124","Iran",8.5,-1.12455377404026e-08,13345,0,13345,TRUE,-0.000150071701145673
"125","Jamaica",2.6,0.0520024529554074,216484,116902,333386,TRUE,17336.8897809915
"126","Jamaica",4.5,5.39815435438304e-05,216484,116902,333386,TRUE,17.9966908759034
"127","Jamaica",6,4.86583115288088e-06,216484,116902,333386,TRUE,1.62219998473435
"128","Jamaica",8.5,1.54245329266125e-24,216484,116902,333386,TRUE,5.14232333427162e-19
"129","Japan",2.6,2.23641909916633,542649,634900,1177549,TRUE,2633493.07380422
"130","Japan",4.5,1.40057428414442,542649,634900,1177549,TRUE,1649244.84771998
"131","Japan",6,0.834696139376589,542649,634900,1177549,TRUE,982895.604226763
"132","Japan",8.5,4.89478311953571e-05,542649,634900,1177549,TRUE,57.6384696762616
"133","Kenya",2.6,2.22135651138591,58036,26116,84152,TRUE,186931.593146147
"134","Kenya",4.5,1.42360598262047,58036,26116,84152,TRUE,119799.290649478
"135","Kenya",6,1.06915861710924,58036,26116,84152,TRUE,89971.8359469768
"136","Kenya",8.5,1.1866007808568e-06,58036,26116,84152,TRUE,0.0998548289106614
"137","Kuwait",2.6,1.70425408447869,76127,41109,117236,TRUE,199799.931847944
"138","Kuwait",4.5,0.4686020110327,76127,41109,117236,TRUE,54937.0253654296
"139","Kuwait",6,0.0846616013054251,76127,41109,117236,TRUE,9925.38749064281
"140","Kuwait",8.5,-7.94208396188273e-10,76127,41109,117236,TRUE,-9.31098155355283e-05
"141","Madagascar",2.6,1.5518985496248,26577,23919,50496,TRUE,78364.669161854
"142","Madagascar",4.5,0.874624514097068,26577,23919,50496,TRUE,44165.0394638455
"143","Madagascar",6,0.456654306183559,26577,23919,50496,TRUE,23059.215845045
"144","Madagascar",8.5,5.38446560175837e-08,26577,23919,50496,TRUE,0.00271893975026391
"145","Malaysia",2.6,1.54781201439826,410341,738614,1148955,TRUE,1778366.35300296
"146","Malaysia",4.5,0.662632691215842,410341,738614,1148955,TRUE,761335.143735898
"147","Malaysia",6,0.358304417295793,410341,738614,1148955,TRUE,411675.651774087
"148","Malaysia",8.5,9.88074657062364e-06,410341,738614,1148955,TRUE,11.3525331760509
"149","Maldives",2.6,0.136662994587578,169574,915699,1085273,TRUE,148316.658125044
"150","Maldives",4.5,0.00945092004194287,169574,915699,1085273,TRUE,10256.8283466795
"151","Maldives",6,0.00228657161959128,169574,915699,1085273,TRUE,2481.55444130868
"152","Maldives",8.5,3.96770073422792e-07,169574,915699,1085273,TRUE,0.430603847893773
"153","Martinique",2.6,2.09399848823034,58011,31326,89337,TRUE,187071.542943034
"154","Martinique",4.5,0.983895157909849,58011,31326,89337,TRUE,87898.2417221921
"155","Martinique",6,0.432737927986756,58011,31326,89337,TRUE,38659.5082725528
"156","Martinique",8.5,-2.34128661562504e-08,58011,31326,89337,TRUE,-0.00209163522380094
"157","Mauritius",2.6,0.717448649649283,164415,147974,312389,TRUE,224123.06621529
"158","Mauritius",4.5,0.173687957077914,164415,147974,312389,TRUE,54258.2072236126
"159","Mauritius",6,0.1161928659813,164415,147974,312389,TRUE,36297.3732110323
"160","Mauritius",8.5,6.8361978896876e-07,164415,147974,312389,TRUE,0.213555302256162
"161","Mexico",2.6,0.902467179793234,1657394,1342489,2999883,TRUE,2707295.95071967
"162","Mexico",4.5,0.672726273538748,1657394,1342489,2999883,TRUE,2018100.11164224
"163","Mexico",6,0.485600069508848,1657394,1342489,2999883,TRUE,1456743.39331841
"164","Mexico",8.5,0.0449627232841822,1657394,1342489,2999883,TRUE,134882.909213922
"165","Micronesia",2.6,1.70744896590253,2481,15627,18108,TRUE,30918.4858745631
"166","Micronesia",4.5,1.13925583369014,2481,15627,18108,TRUE,20629.6446364611
"167","Micronesia",6,0.91480349127061,2481,15627,18108,TRUE,16565.2616199282
"168","Micronesia",8.5,0.000753556191300882,2481,15627,18108,TRUE,13.6453955120764
"169","Mozambique",2.6,0.739901180505009,13070,55286,68356,TRUE,50576.6850946004
"170","Mozambique",4.5,0.0827670355391226,13070,55286,68356,TRUE,5657.62348131226
"171","Mozambique",6,0.0363666342671209,13070,55286,68356,TRUE,2485.87765196332
"172","Mozambique",8.5,2.48187744351014e-06,13070,55286,68356,TRUE,0.169651214528579
"173","Myanmar",2.6,0.577646514547444,5568,6013,11581,TRUE,6689.72428497395
"174","Myanmar",4.5,0.116940908535747,5568,6013,11581,TRUE,1354.29266175249
"175","Myanmar",6,0.0285285268214363,5568,6013,11581,TRUE,330.388869119054
"176","Myanmar",8.5,0.000363071170172453,5568,6013,11581,TRUE,4.20472722176718
"177","New Caledonia",2.6,1.47034993405974,12113,16352,28465,TRUE,41853.5108730104
"178","New Caledonia",4.5,0.751225709282847,12113,16352,28465,TRUE,21383.6398147362
"179","New Caledonia",6,0.40721144292131,12113,16352,28465,TRUE,11591.2737227551
"180","New Caledonia",8.5,7.02176650850853e-05,12113,16352,28465,TRUE,1.99874583664695
"181","Nicaragua",2.6,0.183789230173131,6381,4594,10975,TRUE,2017.08680115012
"182","Nicaragua",4.5,0.0424821184977336,6381,4594,10975,TRUE,466.241250512627
"183","Nicaragua",6,0.0113313055340545,6381,4594,10975,TRUE,124.361078236248
"184","Nicaragua",8.5,5.94103630751033e-06,6381,4594,10975,TRUE,0.0652028734749259
"185","Northern Mariana Islands",2.6,0.00364156826977271,16568,44734,61302,TRUE,223.235418073607
"186","Northern Mariana Islands",4.5,1.18481427830203e-05,16568,44734,61302,TRUE,0.726314848884711
"187","Northern Mariana Islands",6,2.30592778197108e-05,16568,44734,61302,TRUE,1.41357984890391
"188","Northern Mariana Islands",8.5,2.27326027208278e-12,16568,44734,61302,TRUE,1.39355401199219e-07
"189","Oman",2.6,0.123679974358706,143613,77551,221164,TRUE,27353.557849069
"190","Oman",4.5,0.0268799653302975,143613,77551,221164,TRUE,5944.88065230991
"191","Oman",6,0.0067988402076863,143613,77551,221164,TRUE,1503.65869569273
"192","Oman",8.5,7.36199508996715e-09,143613,77551,221164,TRUE,0.00162820828207749
"193","Palau",2.6,2.45051144530693,12672,79831,92503,TRUE,226679.660225227
"194","Palau",4.5,1.7919629086153,12672,79831,92503,TRUE,165761.944935641
"195","Palau",6,1.59383706290399,12672,79831,92503,TRUE,147434.709829808
"196","Palau",8.5,6.39917356810724e-05,12672,79831,92503,TRUE,5.91942752570624
"197","Panama",2.6,0.880235827344018,94588,59590,154178,TRUE,135712.999388246
"198","Panama",4.5,0.183008164245849,94588,59590,154178,TRUE,28215.8327470965
"199","Panama",6,0.0300613120964777,94588,59590,154178,TRUE,4634.79297641075
"200","Panama",8.5,-3.64068467929002e-08,94588,59590,154178,TRUE,-0.00561313482483576
"201","Papua New Guinea",2.6,1.78041112896183,8655,23369,32024,TRUE,57015.8859938738
"202","Papua New Guinea",4.5,0.841201996224472,8655,23369,32024,TRUE,26938.6527270925
"203","Papua New Guinea",6,0.548117978381175,8655,23369,32024,TRUE,17552.9301396787
"204","Papua New Guinea",8.5,6.92374717950771e-05,8655,23369,32024,TRUE,2.21726079676555
"205","Philippines",2.6,1.99320716409165,451187,933957,1385144,TRUE,2760878.94409856
"206","Philippines",4.5,0.942288279415769,451187,933957,1385144,TRUE,1305204.95650308
"207","Philippines",6,0.503963962128239,451187,933957,1385144,TRUE,698062.658358157
"208","Philippines",8.5,1.53382254367492e-05,451187,933957,1385144,TRUE,21.2456509343605
"209","Puerto Rico",2.6,0.722464077382766,510919,137948,648867,TRUE,468783.098499123
"210","Puerto Rico",4.5,0.023478748789104,510919,137948,648867,TRUE,15234.5852905395
"211","Puerto Rico",6,0.00416137389020854,510919,137948,648867,TRUE,2700.17819201794
"212","Puerto Rico",8.5,-3.31174535318209e-14,510919,137948,648867,TRUE,-2.1488822720832e-08
"213","Qatar",2.6,8.59124071731583e-06,99143,8923,108066,TRUE,0.928421019357452
"214","Qatar",4.5,2.77412765571198e-07,99143,8923,108066,TRUE,0.0299788879242171
"215","Qatar",6,2.0265626150734e-09,99143,8923,108066,TRUE,0.000219002515560522
"216","Qatar",8.5,4.60508473411434e-14,99143,8923,108066,TRUE,4.976530868768e-09
"217","Saint Kitts and Nevis",2.6,0.000331316258852197,9963,6277,16240,TRUE,5.38057604375968
"218","Saint Kitts and Nevis",4.5,8.30552878366396e-07,9963,6277,16240,TRUE,0.0134881787446703
"219","Saint Kitts and Nevis",6,1.7128170564044e-07,9963,6277,16240,TRUE,0.00278161489960074
"220","Saint Kitts and Nevis",8.5,3.00646976334724e-19,9963,6277,16240,TRUE,4.88250689567591e-15
"221","Saint Lucia",2.6,1.72937201342457,32892,23682,56574,TRUE,97837.4922874813
"222","Saint Lucia",4.5,0.982159428734979,32892,23682,56574,TRUE,55564.6875212527
"223","Saint Lucia",6,0.546400908959972,32892,23682,56574,TRUE,30912.0850235014
"224","Saint Lucia",8.5,5.81316585689308e-08,32892,23682,56574,TRUE,0.00328874045187869
"225","Saint Vincent and the Grenadines",2.6,1.77693618917439,9404,15235,24639,TRUE,43781.9307650678
"226","Saint Vincent and the Grenadines",4.5,0.364196047050008,9404,15235,24639,TRUE,8973.42640326515
"227","Saint Vincent and the Grenadines",6,0.0583071034456768,9404,15235,24639,TRUE,1436.62872179803
"228","Saint Vincent and the Grenadines",8.5,2.89275513027255e-06,9404,15235,24639,TRUE,0.0712745936547853
"229","Samoa",2.6,1.7734347665237,8614,3876,12490,TRUE,22150.200233881
"230","Samoa",4.5,1.74395088602815,8614,3876,12490,TRUE,21781.9465664916
"231","Samoa",6,2.0109531632115,8614,3876,12490,TRUE,25116.8050085117
"232","Samoa",8.5,2.01210978101164,8614,3876,12490,TRUE,25131.2511648354
"233","Saudi Arabia",2.6,1.40080536900885,135016,133665,268681,TRUE,376369.787350667
"234","Saudi Arabia",4.5,0.30094258411291,135016,133665,268681,TRUE,80857.5544420409
"235","Saudi Arabia",6,0.120593014442418,135016,133665,268681,TRUE,32401.0517134033
"236","Saudi Arabia",8.5,1.05262480022478e-08,135016,133665,268681,TRUE,0.00282820283949193
"237","Seychelles",2.6,0.672089448944061,38495,34646,73141,TRUE,49157.2943852176
"238","Seychelles",4.5,0.412756026151561,38495,34646,73141,TRUE,30189.3885087514
"239","Seychelles",6,0.248416231131638,38495,34646,73141,TRUE,18169.4115611991
"240","Seychelles",8.5,2.14937931596893e-07,38495,34646,73141,TRUE,0.0157207752549283
"241","Solomon Islands",2.6,0.886725326022566,4514,17470,21984,TRUE,19493.7695672801
"242","Solomon Islands",4.5,0.400850269881149,4514,17470,21984,TRUE,8812.29233306717
"243","Solomon Islands",6,0.162110552243239,4514,17470,21984,TRUE,3563.83838051537
"244","Solomon Islands",8.5,5.13609635964274e-06,4514,17470,21984,TRUE,0.112911942370386
